admNm,admCd,xAxis,yAxis,popCnt,storeCnt,saleAmt
송중동,11305545,314894,557528,"3,652",46,"15,430,000"
화곡1동,11500540,297810,548218,"4,387",65,"16,220,000"
가양1동,11500603,298139,552541,"8,504",228,"16,200,000"
강일동,11740515,327207,551747,"4,569",9,8900000
둔촌1동,11740690,323886,547153,"1,018",0,5540000
화곡2동,11500550,298952,548351,853,17,9520000
암사3동,11740590,324279,550653,"1,291",14,"13,090,000"
가양2동,11500604,298716,552302,"2,993",15,"18,660,000"
암사2동,11740580,323082,550299,"2,325",26,8920000
상일동,11740525,326707,550146,7303,42,76200000
방화2동,11500640,294781,552276,"10,745",48,15870000
고덕1동,11740550,325229,550898,1721,20,13580000
삼각산동,11305575,313742,557432,2509,10,20240000
고덕2동,11740560,326367,551246,3363,26,16220000
화곡4동,11500570,299498,548661,"2,531",34,12880000
방화3동,11500641,295399,553600,"2,232",17,9500000
